account_id,Sum of awg_engagement_rate,Sum of comment_engagement_rate,create_time,Sum of followers,Sum of following,is_ad_virtual,is_verified,like_count,Sum of like_engagement_rate,Sum of likes,open_favorite,top_videos,timestamp,Sum of videos_count
114xo12,0.6388888888888888,0.006944444444444444,null,24,0,false,false,null,0.6319444444444444,91,null,"https://www.tiktok.com/@114xo12/video/7053278942895050030,https://www.tiktok.com/@114xo12/video/7053278297832181039,https://www.tiktok.com/@114xo12/video/7053277979958496558,https://www.tiktok.com/@114xo12/video/7053277484405804335,https://www.tiktok.com/@114xo12/video/7053277094788320559,https://www.tiktok.com/@114xo12/video/7053276596685327663",2023-07-28 00:00:00,6
"15 лет""",2,,https://www.tiktok.com/@ly4eek.bs,2,1,null,,null,,,null,,,
"15k by april?""",0.2407475832438238,,https://www.tiktok.com/@mlkaelson,776300,187,null,,null,,,null,,,
"17""",0.16100019383601474,,https://www.tiktok.com/@j_cmp,36900,75,null,,null,,,null,,,
"2 zlatíčka 😻""",0.4,,https://www.tiktok.com/@xvqlluvxxx,4,1,null,,null,,,null,,,
"20k""",0.020838209982788295,,https://www.tiktok.com/@fa6makhan,240400,212,null,,null,,,null,,,
"21 baby dinos🦖💚""",0.45,,https://www.tiktok.com/@ms.din0,141,4,null,,null,,,null,,,
"240422""",0.00461386627189736,,https://www.tiktok.com/@mnjr897,914,135,null,,null,,,null,,,
"✨25 моих принцес и принцев""",0.5404040404040404,,https://www.tiktok.com/@oaestheticgir,214,22,null,,null,,,null,,,
"4_اكتبي تم بالتعليقـات""",0.43508771929824563,,https://www.tiktok.com/@_u30s,125,3,null,,null,,,null,,,
"40 & single""",0.010898580783929634,,https://www.tiktok.com/@itsjennwith2nns,48700,180,null,,null,,,null,,,
"5392363829""",0.04975185756343754,,https://www.tiktok.com/@h_e_m6,19600,71,null,,null,,,null,,,
"785860144🇿🇼""",0.015081351689612015,,https://www.tiktok.com/@pablozw1,671600,499,null,,null,,,null,,,
7ndrews,7.683333333333334,0.17500000000000002,null,24,15,false,false,null,7.508333333333333,907,null,"https://www.tiktok.com/@7ndrews/video/7050540308286672129,https://www.tiktok.com/@7ndrews/video/7047638830412729601,https://www.tiktok.com/@7ndrews/video/7047237390095633666,https://www.tiktok.com/@7ndrews/video/7046858991196065025,https://www.tiktok.com/@7ndrews/video/7046622393871174913",2023-08-02 00:00:00,5
7ng123,0.056976744186046514,0.002774841437632135,null,1720,6835,false,false,null,0.05420190274841438,2301,null,"https://www.tiktok.com/@7ng123/video/7190404488681786651,https://www.tiktok.com/@7ng123/video/7131708037340876059,https://www.tiktok.com/@7ng123/video/7131004830750936346,https://www.tiktok.com/@7ng123/video/7130845637372955931,https://www.tiktok.com/@7ng123/video/7096873977267735834,https://www.tiktok.com/@7ng123/video/7090635909506272538,https://www.tiktok.com/@7ng123/video/7090226212588637466,https://www.tiktok.com/@7ng123/video/7090057417395948827,https://www.tiktok.com/@7ng123/video/7087081067907140890,https://www.tiktok.com/@7ng123/video/7073675801962564890,https://www.tiktok.com/@7ng123/video/7071949464986078491,https://www.tiktok.com/@7ng123/video/7070807604380880154,https://www.tiktok.com/@7ng123/video/7067007362984381723,https://www.tiktok.com/@7ng123/video/7067003678787472666,https://www.tiktok.com/@7ng123/video/7033370015743118619,https://www.tiktok.com/@7ng123/video/7028488237609962778,https://www.tiktok.com/@7ng123/video/7028014520408804634,https://www.tiktok.com/@7ng123/video/7025842800105213211,https://www.tiktok.com/@7ng123/video/7025817241941708058,https://www.tiktok.com/@7ng123/video/7025146338094484762,https://www.tiktok.com/@7ng123/video/7024134939729726747,https://www.tiktok.com/@7ng123/video/7007072090696305946",2023-08-02 00:00:00,22
7o0o07,0.6891674702667953,0.1,null,2074,14,false,false,null,0.5891674702667953,18300,null,"https://www.tiktok.com/@7o0o07/video/7001540200849575169,https://www.tiktok.com/@7o0o07/video/6997349733144513793,https://www.tiktok.com/@7o0o07/video/6997343007468997889,https://www.tiktok.com/@7o0o07/video/6997278811159006465,https://www.tiktok.com/@7o0o07/video/6996340228034219266,https://www.tiktok.com/@7o0o07/video/6995211856487009537,https://www.tiktok.com/@7o0o07/video/6994532742394285313,https://www.tiktok.com/@7o0o07/video/6994529922689617154,https://www.tiktok.com/@7o0o07/video/6994496651926834434,https://www.tiktok.com/@7o0o07/video/6994479112966376706,https://www.tiktok.com/@7o0o07/video/6994463446653766913,https://www.tiktok.com/@7o0o07/video/6994397959391612161,https://www.tiktok.com/@7o0o07/video/6994387598642842881,https://www.tiktok.com/@7o0o07/video/6994386264883547394,https://www.tiktok.com/@7o0o07/video/6993635498157690113",2023-08-02 00:00:00,15
